nohup: ignorando entrada
2025-12-22 20:28:17,262 | INFO | api | ✅ Loaded .env from /home/edenilson/Downloads/kucoin_app/.env
2025-12-22 20:28:17,270 | INFO | database | Database initialized successfully
2025-12-22 20:28:17,271 | INFO | database | Database initialized successfully
2025-12-22 20:28:17,280 | INFO | database | Database initialized successfully
2025-12-22 20:28:19,307 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:28:19,308 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:28:25,075 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:28:25,077 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:28:30,949 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:28:30,951 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:28:36,970 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:28:36,972 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:28:43,010 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:28:43,012 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:28:48,953 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:28:48,955 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:28:54,881 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:28:54,884 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:29:00,920 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:29:00,921 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:29:06,872 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:29:06,876 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:29:13,021 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:29:13,026 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:29:18,918 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:29:18,920 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:29:24,705 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:29:24,708 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:29:30,729 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:29:30,733 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:29:36,770 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:29:36,772 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:29:47,592 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:29:47,593 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:29:53,377 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:29:53,378 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:29:59,406 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:29:59,412 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:30:05,654 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:30:05,656 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:30:11,584 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:30:11,587 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:30:17,634 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:30:17,635 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:30:23,671 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:30:23,672 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:30:29,443 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:30:29,446 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:30:35,480 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:30:35,481 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:30:41,541 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:30:41,545 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:30:47,311 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:30:47,313 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:30:53,178 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:30:53,180 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:30:59,309 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:30:59,313 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:31:05,439 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:31:05,440 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:31:11,493 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:31:11,494 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:31:17,273 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:31:17,280 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:31:23,127 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:31:23,129 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:31:28,978 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:31:28,980 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:31:34,745 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:31:34,748 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:31:40,801 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:31:40,802 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:31:46,720 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:31:46,722 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:31:53,787 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:31:53,789 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:31:59,991 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:31:59,992 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:32:05,970 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:32:05,973 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:32:12,030 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:32:12,033 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:32:18,161 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:32:18,168 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:32:24,313 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:32:24,318 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:32:30,278 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:32:30,279 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:32:36,284 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:32:36,285 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:32:42,221 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:32:42,227 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:32:48,214 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:32:48,217 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:32:54,214 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:32:54,217 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:32:59,989 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:32:59,990 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:33:05,985 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:33:05,986 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:33:12,020 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:33:12,024 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:33:17,921 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:33:17,928 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:33:28,721 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:33:28,724 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:33:34,597 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:33:34,600 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:33:40,486 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:33:40,487 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:33:46,323 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:33:46,328 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:33:59,084 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:33:59,087 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:34:04,881 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:34:04,884 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:34:10,872 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:34:10,876 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:34:16,787 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:34:16,793 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:34:22,779 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:34:22,781 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:34:28,621 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:34:28,623 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:34:34,813 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:34:34,819 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:34:40,654 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:34:40,655 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:34:46,512 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:34:46,514 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:34:52,475 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:34:52,477 | INFO | api | ✅ Found 3 non-zero trade balances
